Title,Description,Issuer,Issue Date
Shodan Aikido,"Awarded 1st Dan Aikido in Ede, The Netherlands after passing grading test required to obtain shodan (black belt)",Shishiya Sensei on behalve of Aikikai Foundation / Hombu Japan,Jul 2013
Golfvaardigheidsbewijs (GVB),"Passed theory & practice exam needed for club handicap 54 at golf club Harderwold, The Netherlands",Nederlandse Golf Federatie (NGF),Oct 2012
2nd place Information Processing,1997 skills fair.,"Blackhawk Technical College, Wisconsin",Apr 1997
