Name,Number
"Building Distributed Pipelines for Data Science using Kafka, Spark, and Cassandra (@O'Reilly)",
Scrum Training for Scrum Masters (PSM I)  (@iSense),
Creative Scala Workshop (@underscore.io),
Microservices Masterclass (@Trivento),
Advanced: Exploring Wikipedia with Spark (@GoDataDriven / Spark Summit),
"Understand and Apply Deep Learning with Keras, Tensorflow, and Apache Spark 2.x.  (Spark Summit)",
